t,u,q,dq,backlash,d_backlash
0.0,0.0,1.865720340325928,10.0,0.0,0.0
0.01001001001001001,0.07599501344923883,1.9653015541663208,9.720717562351725,-0.0012002713895168172,-0.23576895142451657
0.02002002002002002,0.147503611302073,2.0611711078863655,9.455204141265805,-0.004744929852760395,-0.4708113908276403
0.03003003003003003,0.2146573707691557,2.154449220215262,9.202756040684411,-0.010632698586409767,-0.7039690964470969
0.04004004004004004,0.2775861543204225,2.2443792408648227,8.967489531089537,-0.018735401892098016,-0.9298627827898328
0.050050050050050046,0.33641810968509117,2.3329333816259803,8.746192002544445,-0.02915306098333433,-1.150210857185488
0.06006006006006006,0.39127966985166196,2.41936221584092,8.54262767181275,-0.04172321223310833,-1.3600877370414235
0.07007007007007007,0.44229555306791796,2.503848707875348,8.35788875966478,-0.05632961725756671,-1.557230229868302
0.08008008008008008,0.48958876284092373,2.586585758904421,8.192874603520679,-0.07283474825897658,-1.7396398644614333
0.09009009009009009,0.5332805879370267,2.6677744018522103,8.048316174783391,-0.09108232229830537,-1.9055605362403063
0.10010010010010009,0.5734906023818572,2.747622233217886,7.924798829244665,-0.11089962004262473,-2.0534578513293122
0.11011011011011011,0.6103366654603264,2.826342061172662,7.8227827338901035,-0.1320996084574009,-2.182000632417684
0.12012012012012012,0.6439349217166298,2.9041507446515045,7.74262058754031,-0.15448289061873582,-2.2900448722096063
0.13013013013013014,0.674399800954244,2.981268195033902,7.684572385404362,-0.17783950798302528,-2.37662028832612
0.14014014014014015,0.7018440182359281,3.0579165100173222,7.648817073731812,-0.20195062150104276,-2.440919541940935
0.15015015015015015,0.7263785738837242,3.135082753169079,7.635440748754872,-0.2268383409002381,-2.4825619453803616
0.16016016016016016,0.7481127534789555,3.2114649959381474,7.6447472577988975,-0.2517755915265834,-2.5002211460998027
0.17017017017017017,0.7671541278622289,3.2895461701464512,8.140672888346929,-0.27292671014563197,-1.3005213227316765
0.18018018018018017,0.7836085531334335,3.373553699842491,8.605452497066508,-0.2798078682135976,-0.2249801590123962
0.19019019019019018,0.7975801706517401,3.460889702671782,8.836123329619877,-0.27954095213531344,0.2062142673560903
0.20020020020020018,0.8091714070356028,3.5499429343730213,8.965687992021362,-0.2766744282797002,0.3385285472506965
0.21021021021021022,0.8184829741627562,3.640223478995294,9.09439596790468,-0.272843726841067,0.43222694202498446
0.22022022022022023,0.8256138691702197,3.7319090814777476,9.246566013481223,-0.26794812855847744,0.551326098727626
0.23023023023023023,0.8306613744542932,3.8252300312415843,9.421298575910042,-0.26173739500602133,0.6950339588889343
0.24024024024024024,0.8337210576705611,3.920406580960382,9.617481556933823,-0.25397048502586983,0.8622992466984586
0.2502502502502503,0.8348867717338878,4.017646688954961,9.833763610144134,-0.24441826428644947,1.0517877704148766
0.2602602602602603,0.834250654818421,4.1171434884449845,10.068526432676776,-0.2328664564688942,1.2618580073495107
0.2702702702702703,0.8319031303575908,4.21907248073089,10.31985753859637,-0.21911883629317735,1.4905374234980073
0.2802802802802803,0.8279329070441099,4.323588466149379,10.585525385353439,-0.203000648211969,1.7355013583707029
0.2902902902902903,0.8224269788299741,4.430822247351364,10.862959122605023,-0.18436221432054908,1.9940567001837597
0.3003003003003003,0.8154706249264592,4.540877164049993,11.14923560564994,-0.16308267088433462,2.2631329476242734
0.3103103103103103,0.8071474098041257,4.653825546369768,11.44107660930725,-0.13907374536645345,2.5392835474328415
0.3203203203203203,0.7975391831928154,4.769705204166617,11.734859322980629,-0.11228345606210874,2.818700542689965
0.3303303303303303,0.7867260800816527,4.888516100303581,12.026643124116628,-0.08269958628189049,3.097245485026324
0.34034034034034033,0.7747865207190447,5.010217384162178,12.3122152339538,-0.05035275715708893,3.370499173496623
0.35035035035035034,0.7617972106126808,5.134724984186863,12.587157087622153,-0.015318901017039485,3.6338320146056806
0.36036036036036034,0.7478331405295315,5.261909970991095,12.846932062736569,0.02227907508727056,3.8824956141781617
0.37037037037037035,0.7329675864958514,5.39159790135831,13.086993620982977,0.06227064463113402,4.111734626541161
0.38038038038038036,0.7172721097971765,5.523569334690074,13.302911010401985,0.1044382255047558,4.316915984198975
0.39039039039039036,0.7008165569783258,5.657561674671772,13.490507616778093,0.14851910340662483,4.493670576264397
0.40040040040040037,0.6836690598434003,5.793272429760746,13.646005080324471,0.19420880625946518,4.6380404757691815
0.41041041041041043,0.6658960354557835,5.930363908846242,13.766164698441315,0.2411659437689593,4.746623224185975
0.42042042042042044,0.6475621861381404,6.065823919310939,12.978911638061753,0.28221039378748813,2.580220540323916
0.43043043043043044,0.6287304994724199,6.191107970976318,12.186683686565638,0.2960290875742778,0.47446847687172544
0.44044044044044045,0.6094622482998526,6.311075877211641,11.858076274424718,0.29582404180873295,-0.37459379355675276
0.45045045045045046,0.5898169907209514,6.4289507025477945,11.738508839158683,0.2904814828882141,-0.6300383111651704
0.46046046046046046,0.5698525700955106,6.546042465750292,11.676371417791517,0.28390614503340394,-0.6862538959231875
0.47047047047047047,0.5496251150426091,6.662369610960224,11.583651418438675,0.27664703022404286,-0.7721055329593723
0.4804804804804805,0.5291890394406065,6.777610135134132,11.459339355717185,0.26835533744109824,-0.8924581211513816
0.4904904904904905,0.5085970424271453,6.891457629802321,11.30541010168049,0.2586965066048506,-1.04513308760443
0.5005005005005005,0.4879001083991501,7.003627485766138,11.1242360404975,0.24736024616502417,-1.2274684774147946
0.5105105105105106,0.46714750701282765,7.1138604759234445,10.918507334767476,0.2340649567752023,-1.436402463741455
