s,x,y,heading,curvature,track_width, acc
42.04312396155329,6.480404392635929,3.389896077019348,1.9773003306482446,-0.2826653323929024,3.160594995930908,0.0
42.15127908979674,6.438976193369765,3.489806457948219,1.952278471384108,-0.18080072483675938,3.2524666470016212,0.0
42.26701896387661,6.396789601724992,3.5976009701392764,1.937374894411657,-0.07784023026562785,3.1660230666167077,0.0
42.38730668314637,6.353964160674438,3.7100340214266905,1.9340757947650573,0.02172266380869638,3.1041770389862466,0.0
42.50861187688817,6.310482664570077,3.8233096342684956,1.942417562461043,0.1145406125381598,3.010577440892733,0.0
42.628354581963066,6.266034824641481,3.9345271515877784,1.9612686183014243,0.19910826410205246,2.8597908038923245,0.0
42.744751331564856,6.220316806761531,4.0415949217782945,1.9889235128589977,0.27493572727411897,2.670711277207175,0.0
42.85673697025936,6.173136811479858,4.143176944690951,2.0235434439597513,0.3424597468540924,2.4969510563690154,0.0
42.963953767507206,6.124362549233103,4.2386713564304666,2.0635718580715317,0.403654161377062,2.3464800643070203,0.0
43.06622329572829,6.07404233222588,4.327712498173537,2.107760938222324,0.46016955190509146,2.4075593983493393,0.0
43.163552426809304,6.022323212468836,4.4101651658034315,2.1551329396550716,0.5130613509613693,2.513472916463714,0.0
43.25498998853267,5.970051861457469,4.485185939557239,2.2043047223576777,0.5623299317259975,2.62868071503986,0.0
43.34048134674676,5.91776050207413,4.5528136178803615,2.254339153792249,0.6080702269683591,2.4940382048440886,0.0
43.41989764136571,5.866104429262433,4.613125350683571,2.3043031334923563,0.6500842463025039,2.3533759032659853,0.0
43.49434295425823,5.814920856837313,4.667173139743824,2.354141873346435,0.6886917145473402,2.212860878385436,0.0
43.56479787267758,5.763993541319479,4.71584638851718,2.403917009239258,0.7240654031209496,2.068566527964347,0.0
43.632256888647845,5.7129693041456955,4.75995988322868,2.45385877027482,0.7563252354640466,1.916115800670853,0.0
43.69772183610478,5.661366978306486,4.800228563356211,2.50433809919134,0.7855225770676884,1.7506378000809013,0.0
43.76215906957938,5.608621224062242,4.837224017962496,2.5558079847405057,0.8115886707082542,1.8906550576065413,0.0
43.82648851421841,5.554108268296423,4.871357524937157,2.608763357829116,0.8342922789028605,2.046332514939784,0.0
43.89114190075696,5.497556903903682,4.902667634446415,2.6633301353679695,0.8530898506062339,1.8843951869980167,0.0
43.95687838986465,5.438379283105914,4.93125765891103,2.7199033134578383,0.8674165675860183,1.7069243825916018,0.0
44.024036883763436,5.376341257745493,4.956936329152066,2.7784897062617917,0.8764936816897053,1.8708942287046437,0.0
44.092416734466,5.31173586332212,4.979288243628523,2.8385604169298757,0.8796351161853845,2.0457093748367283,0.0
44.162116149656505,5.244623521794835,4.998035381676657,2.899799293334054,0.87679765363717,1.989057841842569,0.0
44.23318743586984,5.1751421222211675,5.012897410024392,2.9618370531669598,0.8682766644995731,1.8093113424028986,0.0
44.30546919571961,5.103673929294303,5.023591226139996,3.024126861667154,0.8546444970342362,1.9726267039268546,0.0
44.37824346525181,5.031188955659475,5.029882332331702,3.085692486431207,0.8368423065054944,2.14392892709955,0.0
44.45190119607633,4.957570526270947,5.031747747690199,-3.1366196591823274,0.8156736269079178,2.3013869570213807,0.0
