s,x,y,heading,curvature,track_width
0.0,0.0,0.0,0.0,0.0,3.5
0.05,0.05,0.0,0.0,0.0,3.5
0.1,0.1,0.0,0.0,0.0,3.5
0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,3.5
0.2,0.2,0.0,0.0,0.0,3.5
0.25,0.25,0.0,0.0,0.0,3.5
0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,3.5
0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,3.5
0.4,0.4,0.0,0.0,0.0,3.5
0.45,0.45,0.0,0.0,0.0,3.5
0.5,0.5,0.0,0.0,0.0,3.5
0.55,0.55,0.0,0.0,0.0,3.5
0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,3.5
0.65,0.65,0.0,0.0,0.0,3.5
0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,3.5
0.75,0.75,0.0,0.0,0.0,3.5
0.8,0.8,0.0,0.0,0.0,3.5
0.8500000000000001,0.8500000000000001,0.0,0.0,0.0,3.5
0.9,0.9,0.0,0.0,0.0,3.5
0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,3.5
1.0,1.0,0.0,0.0,0.0,3.5
1.05,1.05,0.0,0.0,0.0,3.5
1.1,1.1,0.0,0.0,0.0,3.5
1.1500000000000001,1.1500000000000001,0.0,0.0,0.0,3.5
1.2000000000000002,1.2000000000000002,0.0,0.0,0.0,3.5
1.25,1.25,0.0,0.0,0.0,3.5
1.3,1.3,0.0,0.0,0.0,3.5
1.35,1.35,0.0,0.0,0.0,3.5
1.4000000000000001,1.4000000000000001,0.0,0.0,0.0,3.5
1.4500000000000002,1.4500000000000002,0.0,0.0,0.0,3.5
1.5,1.5,0.0,0.0,0.0,3.5
1.55,1.55,0.0,0.0,0.0,3.5
1.6,1.6,0.0,0.0,0.0,3.5
1.6500000000000001,1.6500000000000001,0.0,0.0,0.0,3.5
1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,3.5
1.75,1.75,0.0,0.0,0.0,3.5
1.8,1.8,0.0,0.0,0.0,3.5
1.85,1.85,0.0,0.0,0.0,3.5
1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,3.5
1.9500000000000002,1.9500000000000002,0.0,0.0,0.0,3.5
2.0,2.0,0.0,0.0,0.0,3.5
2.0500000000000003,2.0500000000000003,0.0,0.0,0.0,3.5
2.1,2.1,0.0,0.0,0.0,3.5
2.15,2.15,0.0,0.0,0.0,3.5
2.2,2.2,0.0,0.0,0.0,3.5
2.25,2.25,0.0,0.0,0.0,3.5
2.3000000000000003,2.3000000000000003,0.0,0.0,0.0,3.5
2.35,2.35,0.0,0.0,0.0,3.5
2.4000000000000004,2.4000000000000004,0.0,0.0,0.0,3.5
2.45,2.45,0.0,0.0,0.0,3.5
2.5,2.5,0.0,0.0,0.0,3.5
2.5500000000000003,2.5500000000000003,0.0,0.0,0.0,3.5
2.6,2.6,0.0,0.0,0.0,3.5
2.6500000000000004,2.6500000000000004,0.0,0.0,0.0,3.5
2.7,2.7,0.0,0.0,0.0,3.5
2.75,2.75,0.0,0.0,0.0,3.5
2.8000000000000003,2.8000000000000003,0.0,0.0,0.0,3.5
2.85,2.85,0.0,0.0,0.0,3.5
2.9000000000000004,2.9000000000000004,0.0,0.0,0.0,3.5
2.95,2.95,0.0,0.0,0.0,3.5
3.0,3.0,0.0,0.0,0.0,3.5
3.0500000000000003,3.0500000000000003,0.0,0.0,0.0,3.5
3.1,3.1,0.0,0.0,0.0,3.5
3.1500000000000004,3.1500000000000004,0.0,0.0,0.0,3.5
3.2,3.2,0.0,0.0,0.0,3.5
3.25,3.25,0.0,0.0,0.0,3.5
3.3000000000000003,3.3000000000000003,0.0,0.0,0.0,3.5
3.35,3.35,0.0,0.0,0.0,3.5
3.4000000000000004,3.4000000000000004,0.0,0.0,0.0,3.5
3.45,3.45,0.0,0.0,0.0,3.5
3.5,3.5,0.0,0.0,0.0,3.5
3.5500000000000003,3.5500000000000003,0.0,0.0,0.0,3.5
3.6,3.6,0.0,0.0,0.0,3.5
3.6500000000000004,3.6500000000000004,0.0,0.0,0.0,3.5
3.7,3.7,0.0,0.0,0.0,3.5
3.75,3.75,0.0,0.0,0.0,3.5
3.8000000000000003,3.8000000000000003,0.0,0.0,0.0,3.5
3.85,3.85,0.0,0.0,0.0,3.5
3.9000000000000004,3.9000000000000004,0.0,0.0,0.0,3.5
3.95,3.95,0.0,0.0,0.0,3.5
4.0,4.0,0.0,0.0,0.0,3.5
4.05,4.05,0.0,0.0,0.0,3.5
4.1000000000000005,4.1000000000000005,0.0,0.0,0.0,3.5
4.15,4.15,0.0,0.0,0.0,3.5
4.2,4.2,0.0,0.0,0.0,3.5
4.25,4.25,0.0,0.0,0.0,3.5
4.3,4.3,0.0,0.0,0.0,3.5
4.3500000000000005,4.3500000000000005,0.0,0.0,0.0,3.4999999999999996
4.4,4.4,0.0,0.0,0.0,3.499999999999999
4.45,4.45,0.0,0.0,0.0,3.4999999999999987
4.5,4.5,0.0,0.0,0.0,3.4999999999999982
4.55,4.55,0.0,0.0,0.0,3.4999999999999964
4.6000000000000005,4.6000000000000005,0.0,0.0,0.0,3.4999999999999947
4.65,4.65,0.0,0.0,0.0,3.499999999999991
4.7,4.7,0.0,0.0,0.0,3.499999999999986
4.75,4.75,0.0,0.0,0.0,3.499999999999977
4.800000000000001,4.800000000000001,0.0,0.0,0.0,3.499999999999962
4.8500000000000005,4.8500000000000005,0.0,0.0,0.0,3.4999999999999374
